prob_muerte_cronica_total,prob_muerte_cronica_hombres,prob_muerte_cronica_mujeres,tasa_suicidios_total,tasa_suicidios_hombres,tasa_suicidios_mujeres,nivel_tasa_suicidio
21.9,32.0,13.4,21.2,37.6,7.3,alta
22.2,32.2,14.0,21.6,37.4,8.2,alta
25.8,37.2,16.4,22.7,42.3,6.0,alta
28.4,41.5,17.2,26.7,46.2,10.2,alta
27.9,40.0,17.9,34.7,60.4,12.9,alta
17.9,20.3,15.2,3.3,4.2,2.4,baja
17.9,20.4,15.2,3.3,4.2,2.4,baja
18.1,20.4,15.4,3.2,3.9,2.5,baja
19.6,22.1,16.8,3.1,3.9,2.3,baja
21.2,24.2,18.3,3.0,4.0,2.1,baja
26.6,28.7,25.2,21.2,17.8,24.4,alta
26.6,28.5,25.4,21.0,17.6,24.1,alta
27.0,28.5,25.9,20.1,16.8,23.2,alta
26.5,27.7,25.6,18.6,15.4,21.5,alta
26.6,28.0,25.6,18.0,14.6,21.2,alta
17.6,17.5,17.7,6.8,7.1,6.6,media
17.2,16.9,17.5,6.5,6.7,6.3,media
18.0,17.9,18.1,6.5,6.8,6.1,media
19.0,18.9,19.0,6.8,7.1,6.6,media
18.1,18.0,18.3,5.7,6.6,4.7,baja
20.1,24.4,15.9,5.2,8.1,2.2,baja
19.7,23.5,15.9,4.2,6.3,2.0,baja
20.7,24.8,16.6,5.4,8.3,2.4,baja
21.9,25.4,18.2,5.6,8.3,2.7,baja
22.7,25.4,19.8,5.3,7.7,2.7,baja
20.7,30.6,12.4,31.9,58.1,9.5,alta
22.2,32.8,13.3,34.9,61.7,11.9,alta
23.6,34.7,14.1,37.3,66.1,12.8,alta
25.9,38.0,15.5,43.9,77.6,14.7,alta
24.2,34.6,15.5,50.7,87.2,18.7,alta
10.0,12.2,7.7,13.5,18.6,8.3,alta
9.6,11.6,7.4,14.7,21.4,7.9,alta
11.5,14.1,8.8,12.9,18.2,7.7,alta
13.1,17.1,9.0,14.3,21.7,7.1,alta
15.0,19.4,10.8,16.8,23.4,10.3,alta
22.9,24.5,21.5,3.9,5.6,2.2,baja
23.1,24.7,21.7,4.0,5.7,2.2,baja
24.5,26.0,23.1,4.3,6.2,2.5,baja
25.4,26.8,24.1,4.5,6.4,2.7,baja
27.2,28.2,26.3,4.7,6.5,2.8,baja
16.4,18.8,14.5,3.7,5.8,1.6,baja
16.3,18.6,14.5,3.6,5.7,1.6,baja
17.5,19.9,15.4,3.8,6.1,1.6,baja
19.4,21.7,17.4,4.5,7.2,1.8,baja
21.0,22.9,19.2,6.2,10.2,2.4,media
17.2,20.1,14.0,5.5,7.8,3.2,baja
17.3,20.3,14.3,5.4,7.6,3.1,baja
18.2,21.2,15.1,5.1,7.3,2.8,baja
19.3,22.2,16.2,5.4,7.7,2.9,baja
20.3,22.8,17.7,5.3,7.5,3.1,baja
13.4,16.2,10.3,2.3,3.0,1.3,baja
13.9,16.7,10.8,2.6,3.5,1.5,baja
16.7,19.6,13.6,3.2,4.1,2.0,baja
20.5,22.8,17.9,3.3,4.3,2.1,baja
26.8,27.9,25.5,4.4,5.4,3.4,baja
24.6,22.6,26.2,4.8,6.9,2.7,baja
24.8,22.7,26.5,4.8,6.9,2.7,baja
25.0,22.7,26.9,4.8,7.0,2.7,baja
25.4,22.2,27.9,4.9,7.2,2.7,baja
27.5,23.6,30.6,5.5,7.8,3.2,baja
10.8,13.6,8.0,7.5,12.1,2.8,media
10.8,13.6,7.9,8.0,12.6,3.3,media
11.2,14.0,8.5,8.0,13.6,2.5,media
13.0,15.9,10.2,5.6,8.1,3.1,baja
15.5,19.5,11.9,6.5,10.0,3.0,media
18.1,18.3,18.0,4.4,6.6,2.2,baja
18.0,18.1,17.9,4.3,6.4,2.1,baja
17.9,17.7,18.0,3.9,5.8,1.9,baja
17.8,17.7,17.9,3.5,5.3,1.7,baja
18.1,18.3,17.9,3.4,5.1,1.7,baja
22.6,27.8,17.5,7.8,13.3,2.4,media
22.8,28.4,17.2,8.5,12.8,4.2,media
24.1,30.0,18.4,8.1,12.7,3.6,media
27.2,33.1,21.6,8.8,13.7,3.9,media
29.7,36.3,23.3,11.1,17.6,4.7,media
15.7,17.4,14.1,5.1,8.0,2.3,baja
15.9,17.5,14.3,5.6,8.8,2.4,baja
16.3,17.6,15.0,4.6,7.4,1.9,baja
17.1,18.1,16.3,4.3,7.1,1.5,baja
16.8,17.7,16.0,3.6,6.1,1.1,baja
26.1,29.0,23.1,11.1,15.8,6.3,media
26.5,29.5,23.5,11.4,16.1,6.5,alta
26.4,29.2,23.7,11.1,15.3,6.7,media
27.2,30.0,24.5,11.9,16.2,7.6,alta
27.4,30.1,24.8,10.8,14.0,7.5,media
30.2,38.8,21.9,13.0,22.6,3.5,alta
30.4,39.0,22.2,13.1,22.8,3.7,alta
32.3,40.2,24.5,16.6,28.5,4.9,alta
35.6,43.3,27.7,17.1,28.3,6.0,alta
38.9,44.5,33.3,17.9,28.2,7.6,alta
20.6,26.4,14.9,10.3,15.4,5.3,media
20.9,26.8,15.1,10.0,14.9,5.2,media
22.1,28.1,16.4,10.4,15.2,5.7,media
25.5,32.3,19.1,11.4,16.4,6.6,alta
25.7,32.2,19.5,10.4,14.3,6.7,media
12.4,13.3,11.3,2.9,2.3,3.4,baja
12.5,13.5,11.5,2.9,2.3,3.6,baja
13.8,15.1,12.5,3.7,2.7,4.7,baja
18.6,21.0,16.4,5.3,4.2,6.3,baja
24.4,27.6,21.6,6.9,5.8,8.1,media
18.4,19.6,17.4,4.9,7.4,2.5,baja
18.4,19.8,17.4,4.9,7.4,2.6,baja
20.3,22.1,18.9,5.6,8.2,3.0,baja
22.7,24.3,21.5,6.7,9.8,3.8,media
27.3,28.5,26.4,8.8,13.2,4.8,media
24.2,27.3,21.5,7.8,5.9,9.5,media
24.3,27.3,21.6,7.6,5.8,9.3,media
25.1,27.7,22.9,7.3,5.6,8.9,media
25.8,27.8,24.0,7.7,5.4,9.9,media
25.0,26.1,24.1,7.3,4.2,10.2,media
21.3,24.7,18.7,8.7,14.1,3.6,media
21.6,24.8,19.2,9.0,14.5,3.8,media
23.2,26.2,20.9,10.4,16.9,4.3,media
24.3,27.3,21.9,10.4,16.9,4.2,media
25.6,28.6,23.0,10.9,17.8,4.3,media
21.8,24.8,19.2,8.8,9.7,7.9,media
22.2,25.2,19.6,9.1,10.0,8.3,media
23.8,26.5,21.1,10.5,10.7,10.2,media
25.8,28.7,22.9,12.5,13.0,12.0,alta
27.3,30.7,24.2,15.4,16.8,14.0,alta
11.2,12.7,9.7,12.6,16.2,9.0,alta
11.3,12.8,9.7,12.5,16.0,9.0,alta
12.5,14.5,10.3,10.0,14.0,6.0,media
13.9,16.6,11.1,9.9,13.5,6.4,media
16.2,20.1,12.4,9.8,13.1,6.5,media
10.1,11.6,8.6,12.1,17.9,6.6,alta
10.4,11.9,8.9,12.1,17.9,6.6,alta
11.8,13.7,10.0,13.0,18.6,7.5,alta
13.3,15.5,11.1,13.3,19.7,7.1,alta
15.9,18.8,13.0,12.9,21.2,5.0,alta
14.2,14.8,13.7,12.2,19.3,5.3,alta
14.4,15.0,13.9,12.2,19.3,5.4,alta
15.4,15.8,15.0,12.5,19.3,5.9,alta
17.2,17.4,17.1,14.4,21.8,7.1,alta
19.5,19.4,19.6,17.2,26.2,8.4,alta
20.0,20.1,19.8,4.6,5.9,3.3,baja
20.2,20.3,20.0,4.7,6.0,3.3,baja
20.8,20.6,21.0,4.9,6.1,3.6,baja
21.0,20.2,21.7,4.9,6.1,3.7,baja
20.1,19.3,20.8,4.6,5.6,3.5,baja
22.5,20.9,23.9,9.5,9.9,9.2,media
22.5,20.8,24.0,9.6,9.7,9.5,media
22.9,21.0,24.7,10.0,9.0,10.9,media
24.9,22.1,27.4,9.6,9.2,10.1,media
25.5,22.6,28.1,10.2,9.3,11.0,media
9.2,10.7,7.7,12.2,15.9,8.4,alta
9.3,11.0,7.6,12.4,15.6,9.1,alta
11.3,13.4,9.1,12.6,16.5,8.6,alta
12.2,14.7,9.8,12.7,16.5,8.9,alta
14.2,17.6,10.9,13.3,19.5,7.1,alta
17.8,19.4,15.5,3.9,5.6,0.8,baja
18.1,19.8,15.8,4.1,5.9,0.8,baja
20.2,21.7,17.7,3.7,5.5,0.8,baja
21.8,23.6,19.0,3.4,5.3,0.9,baja
23.4,25.6,20.6,4.3,6.6,1.2,baja
24.7,26.6,22.6,2.9,2.7,3.0,baja
24.8,26.7,22.7,2.9,2.8,3.1,baja
25.6,27.4,23.7,3.1,2.8,3.4,baja
26.7,28.5,24.8,3.5,3.0,4.1,baja
26.7,28.7,24.4,3.4,2.9,4.0,baja
13.0,15.4,10.8,4.3,7.4,1.2,baja
13.2,15.7,10.9,3.9,6.5,1.3,baja
13.4,15.8,11.2,5.1,8.6,1.5,baja
14.6,16.5,12.8,6.3,10.7,1.8,media
15.0,16.5,13.5,6.0,10.4,1.6,media
30.0,33.6,26.6,6.0,8.6,3.3,media
29.9,33.5,26.6,6.0,8.5,3.4,media
28.2,31.0,25.6,5.4,7.6,3.2,baja
29.3,32.1,26.6,5.8,8.1,3.4,baja
31.2,34.1,28.3,7.1,9.8,4.3,media
17.5,18.7,16.3,9.5,12.4,6.5,media
17.7,18.9,16.5,9.9,13.0,6.6,media
18.6,19.7,17.4,9.3,12.2,6.3,media
19.8,20.8,18.9,10.1,13.3,6.8,media
21.2,22.4,20.1,10.1,13.9,6.3,media
12.6,14.1,11.2,4.9,7.2,2.7,baja
12.8,14.3,11.4,4.9,7.2,2.7,baja
13.6,14.9,12.3,4.6,6.7,2.5,baja
14.0,15.2,12.9,4.6,6.6,2.6,baja
15.3,16.4,14.3,5.1,7.3,2.9,baja
26.8,32.8,21.0,3.2,4.3,2.0,baja
26.9,32.9,21.1,3.2,4.5,2.0,baja
27.6,33.5,21.8,3.3,4.7,1.9,baja
28.4,34.4,22.7,2.6,3.7,1.5,baja
26.8,31.6,22.2,2.5,3.5,1.6,baja
18.7,25.3,12.4,16.2,28.9,4.3,alta
19.3,26.4,12.7,15.8,28.4,4.1,alta
20.4,28.2,13.2,18.6,33.4,4.8,alta
22.3,31.0,14.3,17.7,31.1,5.2,alta
24.8,34.2,16.2,16.9,29.0,5.5,alta
11.1,15.5,7.0,14.0,22.2,6.5,alta
11.2,15.7,7.1,13.8,22.0,6.4,alta
12.1,16.8,7.8,13.5,21.1,6.6,alta
13.8,18.6,9.3,11.1,17.4,5.2,media
15.7,20.9,10.8,7.5,12.2,3.0,media
15.3,16.0,13.7,6.6,8.5,0.9,media
15.4,16.2,13.8,6.5,8.3,0.9,media
16.4,17.0,15.6,6.1,7.7,0.9,media
16.7,16.8,17.5,3.2,4.4,0.8,baja
18.3,18.1,19.0,3.4,4.7,1.1,baja
7.8,10.9,4.7,26.9,38.4,15.4,alta
8.3,11.6,5.1,28.3,39.9,16.5,alta
10.6,14.8,6.4,34.1,45.1,23.1,alta
13.5,18.6,8.5,26.8,35.7,17.8,alta
16.5,22.9,10.6,14.8,20.3,9.3,alta
24.9,33.7,17.3,15.9,27.9,4.7,alta
27.5,36.6,19.5,16.4,28.5,5.2,alta
29.5,38.1,22.0,20.9,37.0,5.9,alta
31.6,40.0,24.4,19.2,33.8,5.8,alta
31.9,39.6,25.5,16.4,29.4,4.5,alta
21.4,29.3,13.9,10.4,17.9,3.3,media
21.5,29.4,14.0,11.6,20.3,3.5,alta
23.4,31.7,15.6,14.0,23.9,4.8,alta
25.4,33.8,17.7,12.5,20.9,4.4,alta
26.4,34.3,19.1,13.2,22.1,4.8,alta
25.4,36.5,16.1,31.0,55.9,9.4,alta
25.9,37.2,16.4,32.1,57.8,9.9,alta
30.4,43.1,19.6,40.0,71.7,12.5,alta
37.1,51.4,24.2,51.6,92.5,16.0,alta
37.0,50.5,24.7,52.6,93.5,16.5,alta
18.2,19.6,17.0,6.7,9.7,3.8,media
18.3,19.7,17.1,6.8,9.7,3.9,media
19.2,20.7,18.2,7.5,10.7,4.5,media
22.4,23.5,21.7,10.9,14.0,7.9,media
30.1,30.1,30.2,15.6,19.0,12.4,alta
18.8,20.7,16.9,7.8,13.5,2.2,media
19.0,20.9,17.2,7.8,13.6,2.2,media
19.4,21.0,18.0,6.1,10.8,1.6,media
24.8,27.2,22.6,3.0,6.1,0.0,baja
24.9,25.5,24.3,6.4,10.9,2.1,media
23.2,27.1,19.1,2.4,3.9,0.9,baja
22.3,25.9,18.6,2.7,4.4,1.0,baja
21.4,22.7,20.1,3.3,6.0,0.6,baja
22.8,23.9,21.7,9.9,16.7,2.9,media
24.6,25.2,24.1,6.3,11.5,0.9,media
20.6,26.1,14.7,4.4,6.7,1.9,baja
20.9,26.5,15.0,4.5,6.8,1.9,baja
23.4,29.5,16.8,5.0,7.8,2.1,baja
26.7,33.4,19.4,6.5,10.0,2.7,media
29.5,36.6,21.7,8.3,12.6,3.6,media
18.5,18.7,18.6,2.3,3.0,1.6,baja
18.6,18.7,18.7,2.3,3.0,1.5,baja
18.6,18.1,19.0,2.0,2.7,1.4,baja
19.0,18.4,19.5,1.8,2.4,1.2,baja
19.8,18.9,20.5,2.0,2.7,1.3,baja
16.4,17.8,14.2,3.2,4.5,1.5,baja
16.5,18.0,14.4,3.2,4.4,1.5,baja
17.9,19.5,15.9,3.4,5.0,1.4,baja
18.4,20.1,16.4,3.0,4.4,1.2,baja
18.9,21.1,16.3,2.8,4.2,1.1,baja
18.1,19.2,17.2,6.0,9.3,2.9,media
18.4,19.5,17.6,6.2,9.6,3.0,media
20.0,20.6,19.5,6.9,10.4,3.6,media
21.9,22.6,21.3,8.1,12.0,4.3,media
21.3,22.0,20.8,7.7,11.4,4.1,media
19.1,24.6,13.7,15.6,23.5,8.1,alta
20.1,25.8,14.5,15.0,22.3,8.1,alta
22.5,28.3,16.8,15.9,23.9,8.2,alta
26.1,32.5,19.9,18.8,26.8,11.2,alta
28.5,35.2,22.0,21.0,29.8,12.5,alta
21.2,28.7,13.2,9.3,16.4,2.4,media
21.3,28.8,13.4,9.4,16.5,2.5,media
22.8,30.3,14.4,9.4,15.9,2.5,media
23.4,31.5,15.5,9.1,15.8,2.5,media
24.1,32.2,16.1,8.7,15.0,2.5,media
30.5,28.2,32.6,9.7,11.3,8.1,media
30.0,27.6,32.2,9.3,10.8,7.9,media
31.8,29.7,33.7,9.2,10.8,7.7,media
33.9,32.7,35.1,10.4,12.7,8.2,media
36.7,36.9,36.5,11.1,13.2,9.1,media
9.3,11.8,6.9,9.9,13.8,6.1,media
10.0,12.7,7.3,9.0,12.1,6.1,media
11.3,14.7,8.0,10.0,13.0,7.0,media
13.3,17.0,9.6,11.6,15.7,7.6,alta
16.8,20.5,13.0,12.4,16.2,8.7,alta
17.2,23.6,11.2,12.8,22.7,3.5,alta
17.7,24.3,11.5,12.8,22.6,3.5,alta
20.4,28.4,13.1,13.9,24.4,3.9,alta
22.9,32.1,14.7,13.8,24.3,3.9,alta
25.3,35.2,16.4,14.4,24.2,5.1,alta
12.7,16.4,8.9,18.6,30.4,6.9,alta
13.1,16.9,9.2,21.0,33.3,8.9,alta
13.5,18.1,8.9,20.7,34.0,7.6,alta
16.1,21.7,10.7,27.1,42.9,12.0,alta
18.5,25.4,12.1,32.4,48.0,17.6,alta
23.8,26.1,21.4,4.7,6.8,2.6,baja
24.4,26.7,22.0,4.9,7.0,2.7,baja
25.8,27.8,23.6,5.8,8.0,3.4,baja
28.5,30.7,26.1,7.6,10.3,4.8,media
31.2,33.3,29.0,11.2,14.5,7.7,alta
21.8,21.7,22.0,4.7,6.3,3.1,baja
21.9,21.8,22.1,4.7,6.3,3.1,baja
21.6,21.1,22.1,4.3,5.7,2.9,baja
23.9,24.0,23.7,4.8,6.5,3.2,baja
24.1,24.0,24.2,4.7,6.2,3.2,baja
26.2,32.3,21.2,11.6,18.7,4.7,alta
26.6,32.6,21.5,11.8,19.0,4.8,alta
28.2,33.9,23.4,12.2,19.2,5.4,alta
28.7,33.8,24.4,11.8,18.2,5.6,alta
29.4,34.4,25.0,11.6,17.7,5.7,alta
19.8,20.0,19.5,3.7,4.9,2.6,baja
19.6,19.9,19.4,3.7,4.7,2.6,baja
20.3,20.9,19.7,4.1,5.4,2.8,baja
22.3,23.1,21.6,4.6,6.1,3.1,baja
23.8,24.7,23.0,4.8,6.3,3.2,baja
9.9,13.6,6.4,8.7,13.1,4.5,media
10.1,13.9,6.5,8.1,12.0,4.3,media
10.7,15.0,6.6,7.0,10.9,3.2,media
12.2,17.2,7.3,8.1,12.2,4.2,media
13.5,19.1,8.0,8.6,13.1,4.3,media
17.4,22.1,13.2,14.6,23.5,6.4,alta
17.6,22.3,13.4,14.8,24.0,6.2,alta
17.6,22.6,12.9,19.1,30.4,8.3,alta
17.9,23.3,12.7,23.1,37.0,9.6,alta
21.5,26.3,16.8,28.8,44.5,13.2,alta
26.0,27.8,24.3,8.1,12.2,4.0,media
26.0,27.9,24.3,8.0,12.1,4.0,media
26.8,28.5,25.1,8.0,11.9,4.0,media
28.8,30.6,27.0,8.4,12.7,4.1,media
29.8,31.8,27.9,7.9,12.0,3.8,media
21.7,26.4,17.2,22.8,34.7,10.9,alta
21.8,26.6,17.3,23.8,36.3,11.3,alta
23.0,27.5,18.8,27.0,40.9,13.0,alta
25.1,29.7,20.8,26.5,42.1,10.7,alta
28.0,31.2,25.0,23.5,36.4,10.4,alta
9.1,10.7,7.6,14.8,19.1,10.5,alta
9.3,10.7,7.9,15.7,20.9,10.5,alta
10.4,12.1,8.7,15.3,21.0,9.5,alta
11.8,13.9,9.8,16.4,21.6,11.2,alta
13.2,15.8,10.6,15.6,20.5,10.8,alta
8.6,10.6,6.6,17.2,22.0,12.4,alta
8.7,10.8,6.7,17.1,22.0,12.3,alta
9.7,12.1,7.3,16.2,21.1,11.4,alta
10.9,14.1,7.8,20.8,27.0,14.8,alta
12.6,16.4,9.1,21.8,29.7,14.2,alta
21.8,24.9,18.7,1.9,2.9,0.9,baja
21.8,24.9,18.7,1.9,2.9,0.9,baja
22.1,25.3,18.8,1.9,3.0,0.8,baja
22.2,26.0,18.2,1.6,2.5,0.6,baja
22.6,27.1,18.2,1.3,2.1,0.6,baja
25.3,28.6,22.0,2.5,3.7,1.3,baja
25.4,28.7,22.2,2.5,3.7,1.3,baja
26.1,28.8,23.0,2.5,3.6,1.3,baja
27.3,29.9,24.4,2.9,4.2,1.6,baja
27.3,29.5,25.0,3.0,4.3,1.6,baja
14.5,18.3,11.0,14.4,23.4,5.9,alta
14.6,18.4,11.1,14.6,23.6,5.9,alta
15.8,19.3,12.6,14.3,22.6,6.4,alta
17.7,20.9,14.8,12.7,19.4,6.2,alta
19.2,22.6,16.1,16.2,24.2,8.4,alta
20.3,25.3,15.4,7.9,11.9,3.9,media
20.7,25.8,15.7,7.8,11.7,3.9,media
23.0,28.6,17.5,5.9,8.4,3.4,baja
24.3,29.8,18.9,7.2,10.4,4.0,media
26.0,31.3,20.8,7.7,10.7,4.6,media
19.9,21.7,18.0,4.6,6.2,2.9,baja
19.9,21.7,18.0,4.6,6.2,2.9,baja
23.2,24.9,21.4,5.3,7.3,3.3,baja
24.3,25.6,23.0,6.2,8.3,4.0,media
26.8,28.2,25.3,9.3,12.7,5.9,media
23.6,24.1,23.1,9.6,12.8,6.4,media
23.5,24.1,23.0,9.4,12.5,6.2,media
24.4,25.1,23.7,9.5,12.9,6.2,media
25.2,25.9,24.5,9.9,13.3,6.6,media
24.9,25.7,24.2,9.6,12.8,6.5,media
23.3,29.7,17.5,3.5,4.3,2.7,baja
23.5,29.9,17.7,3.5,4.2,2.7,baja
24.7,30.8,18.7,3.6,4.3,2.8,baja
25.3,31.0,19.8,3.4,4.0,2.9,baja
26.1,30.9,21.7,3.6,3.9,3.3,baja
21.3,24.6,18.0,13.6,23.0,4.5,alta
21.5,24.9,18.3,13.6,22.9,4.5,alta
23.6,27.2,20.1,14.5,23.6,5.6,alta
26.4,30.7,22.4,12.3,19.4,5.4,alta
28.9,33.2,24.8,14.9,23.3,6.5,alta
16.1,20.2,12.2,3.4,4.4,2.3,baja
16.4,20.5,12.4,3.4,4.5,2.3,baja
17.5,22.1,12.9,3.6,5.0,2.3,baja
18.2,23.1,13.3,3.6,5.1,2.2,baja
19.3,24.1,14.1,3.5,4.9,2.1,baja
16.1,21.5,11.3,7.3,11.4,3.3,media
16.4,21.8,11.5,7.3,11.4,3.4,media
18.2,24.3,12.5,8.4,13.1,3.8,media
20.2,26.4,14.0,7.6,12.2,3.2,media
22.3,28.6,15.9,7.2,11.5,2.9,media
29.5,36.7,22.9,6.7,10.1,3.5,media
30.6,38.0,23.9,7.2,10.8,3.6,media
31.0,37.5,24.9,7.6,11.7,3.7,media
35.6,42.6,28.8,11.7,18.8,4.8,alta
34.0,41.0,27.3,9.1,14.6,3.7,media
21.9,23.8,20.3,9.9,10.7,9.1,media
21.9,23.9,20.3,9.9,10.6,9.3,media
22.7,24.6,21.2,10.5,10.6,10.4,media
24.8,26.2,23.6,10.5,10.6,10.4,media
25.9,27.9,24.2,11.1,11.0,11.3,media
24.7,35.1,16.2,22.4,41.1,6.3,alta
25.9,36.6,16.9,23.1,42.0,6.8,alta
29.3,40.4,20.0,27.1,48.9,8.4,alta
35.6,48.4,24.2,34.5,62.0,10.7,alta
34.3,46.1,23.8,36.9,65.1,12.3,alta
16.8,17.3,15.5,2.8,3.6,0.7,baja
17.0,17.5,15.7,2.8,3.6,0.7,baja
18.1,18.4,17.0,3.0,3.8,0.7,baja
18.9,19.1,18.0,3.1,4.1,1.0,baja
21.6,22.0,20.6,3.2,4.2,1.1,baja
10.9,12.9,9.0,8.9,13.5,4.4,media
11.2,13.3,9.2,8.7,13.1,4.5,media
12.2,14.6,9.8,7.8,11.9,3.9,media
14.2,17.1,11.3,8.2,12.0,4.5,media
16.4,20.0,12.9,9.1,13.7,4.8,media
17.9,18.5,17.4,5.4,7.7,3.2,baja
17.9,18.5,17.5,5.4,7.6,3.2,baja
17.9,18.4,17.6,5.3,7.5,3.1,baja
18.8,19.1,18.5,5.5,7.9,3.2,baja
21.2,21.8,20.6,6.9,10.0,3.8,media
14.6,17.5,11.8,15.3,23.6,7.2,alta
14.3,17.2,11.6,15.0,23.0,7.1,alta
14.5,17.4,11.7,13.2,20.7,5.9,alta
16.0,19.2,13.0,11.9,18.6,5.4,alta
18.0,21.6,14.6,11.3,17.9,4.9,alta
16.7,21.4,12.5,18.4,29.2,8.3,alta
17.1,21.8,12.9,19.4,31.4,8.2,alta
17.7,23.4,12.4,16.6,26.3,7.5,alta
19.1,25.2,13.6,15.3,24.2,7.0,alta
20.6,27.8,14.1,17.4,29.4,6.1,alta
24.5,29.7,19.6,7.4,9.9,4.8,media
24.8,30.1,20.0,7.4,10.0,4.8,media
26.5,31.5,21.7,6.0,8.3,3.6,media
29.9,35.2,24.6,5.8,8.9,2.8,baja
29.3,34.4,24.3,7.6,11.3,4.0,media
23.3,27.2,19.2,4.5,6.6,2.2,baja
23.7,27.6,19.6,4.5,6.8,2.3,baja
24.9,28.2,21.1,5.1,7.5,2.6,baja
25.6,28.4,22.3,5.7,8.3,3.0,baja
27.9,30.8,24.4,7.3,10.2,4.3,media
18.1,21.8,14.5,3.7,6.3,1.1,baja
18.2,21.9,14.6,3.8,6.4,1.2,baja
18.4,22.0,14.9,4.3,7.2,1.5,baja
19.4,22.8,16.2,5.9,9.7,2.1,baja
21.6,24.9,18.3,8.0,13.8,2.2,media
17.1,23.4,11.5,7.3,10.9,3.7,media
17.3,23.6,11.6,7.2,10.8,3.7,media
18.0,24.8,12.1,7.0,10.5,3.6,media
18.4,25.2,12.4,6.7,10.1,3.5,media
18.6,25.3,12.7,6.7,10.0,3.6,media
30.6,33.2,28.2,8.5,11.3,5.6,media
30.7,33.3,28.2,8.6,11.4,5.7,media
31.9,34.5,29.4,8.8,11.8,5.7,media
32.6,35.2,30.1,8.1,11.0,5.1,media
33.1,35.7,30.5,6.8,9.2,4.2,media
17.9,18.5,17.4,6.1,8.8,3.5,media
18.0,18.6,17.6,6.1,8.7,3.5,media
19.9,19.8,20.0,6.3,9.0,3.6,media
21.1,20.4,21.7,6.5,9.3,3.8,media
23.2,21.8,24.4,8.1,11.8,4.6,media
19.3,18.7,19.8,10.7,15.7,6.0,media
19.4,18.6,19.9,10.6,15.5,6.0,media
21.1,20.5,21.5,11.9,18.1,6.1,alta
22.5,22.1,22.9,13.9,21.7,6.4,alta
21.6,21.6,21.7,12.9,20.6,5.5,alta
